"`","utt.num","utt","objects.present","objects.referred","mom.eyes","mom.hands","mom.point","kid.eyes","kid.hands"
"A29",126,"thank you","dog pig brush",,"child","pig",,"pig","pig brush"
"A29",127,"thank you","dog pig brush",,"child","pig",,"pig","pig brush"
"A29",128,"okay you can have him","dog pig brush","pig","child",,,"pig","pig brush"
"A29",129,"thank you","dog pig brush",,"dog","dog",,"mom","dog pig brush"
"A29",130,"airplane","dog pig brush",,,,,,
"A29",131,"see","dog pig brush",,,,,,
"A29",132,"look","dog pig brush",,,,,,
"A29",133,"see","dog pig brush",,,,,,
"A29",134,"look look look","dog pig brush",,,,,,
"A29",135,"look","dog pig brush",,,,,,
"A29",136,"airplane","dog pig brush",,,,,,
"A29",137,"alex airplane","dog pig brush",,,,,,
"A29",138,"oh you cant see the suns in your eyes","dog pig brush",,"child","child",,,
"A29",139,"too bright","dog pig brush",,"child",,,,
"A29",140,"airplane","dog pig brush",,"child",,,,
"A29",141,"is birdy uhhuh","dog pig brush",,"child",,,,
"A29",142,"birdys singing","dog pig brush",,"child",,,,
"A29",143,"pig","dog pig brush","pig","child",,,"mom","brush"
"A29",144,"pig","dog pig brush","pig","child",,,"pig","brush pig"
"A29",145,"look at the doggy","dog pig brush","dog","dog","dog",,"dog","brush"
"A29",146,"want to brush the doggys hair","dog pig brush","dog","child","dog",,"dog","brush"
"A29",147,"want to brush the doggys hair","dog pig brush","dog","child",,,"dog","brush"
"A29",148,"uhuh","dog pig brush",,"child",,,"dog","brush"
"A29",149,"okay","dog pig brush",,"child",,,"dog","brush"
"A29",150,"brush","dog pig brush","brush","child",,,,"brush"
"A29",151,"thats right brush","dog pig brush","brush","child",,,,"brush"
"A29",152,"Brush","dog pig brush","brush","child",,,,"brush"
"A29",153,"whos that huh","dog pig brush",,"child",,,,"brush"
"A29",154,"whos that","dog pig brush",,"child",,,,"brush"
